"tac";"handset_brand";"handset_model";"reporting_body";"approved_in";"gsm450";"gsm850";"gsm900";"gsm1800";"gsm1900";"gsmr";"gsm3";"foma";"iden800";"cdma800";"cdma1800";"cdma1900";"tdma";"satellite";
"'000000";"N/A";"Test phone";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'000100";"N/A";"Test phone";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'004400";"N/A";"Test phone";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'004401";"N/A";"Test phone";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'004601";"N/A";"Test phone";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010000";"Blackberry";"7520";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"'010003";"Nokia";"2190";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010010";"Motorola";"MicroTAC Select 3000e";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010014";"Motorola";"Select 2000e";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010015";"Motorola";"StarTAC 8600";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010016";"Motorola";"Select 6000e";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010017";"Motorola";"StarTAC V3688";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010021";"Ericsson";"CF788";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010023";"Mitsubishi";"G100e";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010024";"Nokia";"9000i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010025";"Motorola";"StarTAC 7000g";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010028";"Nokia";"6190";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010032";"Motorola";"MicroTAC Select 3000e";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010036";"Ericsson";"CA638";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
